county,precinct,office,district,party,candidate,election_day,absentee,votes
New Castle,01~01,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,409,273,682
New Castle,01~02,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,739,347,1086
New Castle,01~03,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,517,194,711
New Castle,01~04,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,691,282,973
New Castle,01~05,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,579,433,1012
New Castle,01~06,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,262,94,356
New Castle,01~07,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,279,134,413
New Castle,01~08,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,72,44,116
New Castle,01~09,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,514,300,814
New Castle,01~10,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,712,250,962
New Castle,01~11,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,343,203,546
New Castle,01~12,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,175,145,320
New Castle,01~13,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,370,269,639
New Castle,01~14,U.S. Senator,1,Democratic Party,CHRISTOPHER A. COONS,275,257,532
New Castle,02~01,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,787,211,998
New Castle,02~02,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,289,103,392
New Castle,02~03,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,96,104,200
New Castle,02~04,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,39,38,77
New Castle,02~05,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,377,139,516
New Castle,02~06,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,332,226,558
New Castle,02~07,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,351,108,459
New Castle,02~08,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,405,93,498
New Castle,02~09,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,252,157,409
New Castle,02~10,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,512,351,863
New Castle,02~11,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,674,199,873
New Castle,02~12,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,374,74,448
New Castle,02~17,U.S. Senator,2,Democratic Party,CHRISTOPHER A. COONS,0,529,529
New Castle,03~01,U.S. Senator,3,Democratic Party,CHRISTOPHER A. COONS,391,135,526
New Castle,03~02,U.S. Senator,3,Democratic Party,CHRISTOPHER A. COONS,546,304,850
New Castle,03~03,U.S. Senator,3,Democratic Party,CHRISTOPHER A. COONS,299,116,415
New Castle,03~04,U.S. Senator,3,Democratic Party,CHRISTOPHER A. COONS,447,183,630
New Castle,03~05,U.S. Senator,3,Democratic Party,CHRISTOPHER A. COONS,59,21,80
New Castle,03~06,U.S. Senator,3,Democratic Party,CHRISTOPHER A. COONS,351,112,463
New Castle,03~07,U.S. Senator,3,Democratic Party,CHRISTOPHER A. COONS,579,241,820
New Castle,03~08,U.S. Senator,3,Democratic Party,CHRISTOPHER A. COONS,488,234,722
New Castle,03~09,U.S. Senator,3,Democratic Party,CHRISTOPHER A. COONS,556,215,771
New Castle,03~10,U.S. Senator,3,Democratic Party,CHRISTOPHER A. COONS,104,81,185
